,prices,address,links,beds,baths,sq_feet
53,675000.0, 2703 Benbrook Dr Austin TX 78757 ,https://www.zillow.com/homedetails/2703-Benbrook-Dr-Austin-TX-78757/29429438_zpid/,3,2,1440
54,849900.0, 6407 Shoal Creek Blvd Austin TX 78757 ,https://www.zillow.com/homedetails/6407-Shoal-Creek-Blvd-Austin-TX-78757/29416733_zpid/,3,2,1116
55,995000.0, 7717 Baja Cv Austin TX 78759 ,https://www.zillow.com/homedetails/7717-Baja-Cv-Austin-TX-78759/29370232_zpid/,3,3,1537
56,425000.0, 10208 Laredo Dr #105 Austin TX 78748 ,https://www.zillow.com/homedetails/10208-Laredo-Dr-105-Austin-TX-78748/83126440_zpid/,3,2,1248
57,425000.0, 2021 Tranquilo Trl Austin TX 78744 ,https://www.zillow.com/homedetails/2021-Tranquilo-Trl-Austin-TX-78744/64883834_zpid/,4,3,1841
58,625000.0, 5909 Grover Ave Austin TX 78757 ,https://www.zillow.com/homedetails/5909-Grover-Ave-Austin-TX-78757/29413229_zpid/,2,2,967
59,749900.0, 1160 Nickols Ave #A Austin TX 78721 ,https://www.zillow.com/homedetails/1160-Nickols-Ave-A-Austin-TX-78721/124844882_zpid/,4,3,2763
60,499900.0, 6000 Shanghai Pierce Rd Austin TX 78749 ,https://www.zillow.com/homedetails/6000-Shanghai-Pierce-Rd-Austin-TX-78749/29481346_zpid/,3,3,1896
61,750000.0, 1709 Perez St UNIT 1 Austin TX 78721 ,https://www.zillow.com/homedetails/1709-Perez-St-UNIT-1-Austin-TX-78721/305430671_zpid/,4,2,1461
62,799000.0, 1308 Romeria Dr Austin TX 78757 ,https://www.zillow.com/homedetails/1308-Romeria-Dr-Austin-TX-78757/29414863_zpid/,3,2,1440
63,975000.0, 4204 Duval St Austin TX 78751 ,https://www.zillow.com/homedetails/4204-Duval-St-Austin-TX-78751/64750962_zpid/,3,2,1116
64,549900.0, 2512 Amur Dr Austin TX 78745 ,https://www.zillow.com/homedetails/2512-Amur-Dr-Austin-TX-78745/114406127_zpid/,3,3,1537
65,650000.0, 108 Azimuth Dr Austin TX 78717 ,https://www.zillow.com/homedetails/108-Azimuth-Dr-Austin-TX-78717/89651116_zpid/,3,2,1248
66,575000.0, 13205 Kirkglen Dr Austin TX 78727 ,https://www.zillow.com/homedetails/13205-Kirkglen-Dr-Austin-TX-78727/29443504_zpid/,4,3,1841
67,499000.0, 3712 Williamsburg Cir Austin TX 78731 ,https://www.zillow.com/homedetails/3712-Williamsburg-Cir-Austin-TX-78731/29355361_zpid/,2,2,967
68,3000000.0, 2209 Big Horn Dr Austin TX 78734 ,https://www.zillow.com/homedetails/2209-Big-Horn-Dr-Austin-TX-78734/29357373_zpid/,4,3,2763
69,450000.0, 1012 Great Britain Blvd Austin TX 78748 ,https://www.zillow.com/homedetails/1012-Great-Britain-Blvd-Austin-TX-78748/29505847_zpid/,3,3,1896
70,409000.0, 8104 Tockington Way Austin TX 78748 ,https://www.zillow.com/homedetails/8104-Tockington-Way-Austin-TX-78748/29503696_zpid/,4,2,1461
